StartTime,EndTime,Open,High,Low,Close,Volume,Red,Bid_Ask_Spread,inttime
2018-01-01 00:00:00,2018-01-01 00:05:00,13763.0,13788.0,13709.0,13709.0,74.84231764999998,0,-65.0,736695.0
2018-01-01 00:05:00,2018-01-01 00:10:00,13710.0,13710.0,13559.0,13640.0,286.44540388999906,0,-119.0,736695.0034722222
2018-01-01 00:10:00,2018-01-01 00:15:00,13639.0,13650.0,13600.0,13623.0,95.25565467000025,0,-40.0,736695.0069444445
2018-01-01 00:15:00,2018-01-01 00:20:00,13621.0,13621.0,13519.0,13546.0,127.09418426000006,0,-101.0,736695.0104166666
2018-01-01 00:20:00,2018-01-01 00:25:00,13547.0,13548.0,13505.0,13530.0,140.55084123999998,0,-39.0,736695.0138888889
2018-01-01 00:25:00,2018-01-01 00:30:00,13530.0,13618.0,13530.0,13581.0,151.70728368,0,-73.0,736695.0173611111
2018-01-01 00:30:00,2018-01-01 00:35:00,13580.0,13616.0,13555.0,13578.0,68.01581510000003,0,-41.0,736695.0208333334
2018-01-01 00:35:00,2018-01-01 00:40:00,13577.0,13600.0,13532.0,13558.0,94.19253771000005,0,-57.0,736695.0243055555
2018-01-01 00:40:00,2018-01-01 00:45:00,13565.0,13586.0,13556.79764576,13578.0,58.87396657999995,1,-20.0,736695.0277777778
2018-01-01 00:45:00,2018-01-01 00:50:00,13579.0,13692.0,13579.0,13681.0,193.71124037,1,-111.0,736695.03125
2018-01-01 00:50:00,2018-01-01 00:55:00,13682.0,13682.0,13606.0,13611.0,76.87711260000002,0,-59.0,736695.0347222222
2018-01-01 00:55:00,2018-01-01 01:00:00,13611.0,13612.0,13555.0,13607.0,82.89996172999997,1,-55.0,736695.0381944445
2018-01-01 01:00:00,2018-01-01 01:05:00,13621.0,13621.0,13567.0,13593.0,25.35247349999998,0,-50.0,736695.0416666666
2018-01-01 01:05:00,2018-01-01 01:10:00,13591.0,13592.0,13505.0,13515.0,71.52615871999998,0,-77.0,736695.0451388889
2018-01-01 01:10:00,2018-01-01 01:15:00,13513.0,13563.0,13505.0,13542.0,43.083517840000034,0,-51.0,736695.0486111111
2018-01-01 01:15:00,2018-01-01 01:20:00,13544.0,13617.0,13528.01718194,13616.0,57.31158503000002,1,-82.0,736695.0520833334
2018-01-01 01:20:00,2018-01-01 01:25:00,13615.0,13655.0,13599.96834149,13611.0,92.3436589000001,0,-45.0,736695.0555555555
2018-01-01 01:25:00,2018-01-01 01:30:00,13611.0,13635.0,13605.0,13610.0,21.46480608,0,-22.0,736695.0590277778
2018-01-01 01:30:00,2018-01-01 01:35:00,13610.0,13631.0,13538.0,13538.0,71.89773488000002,1,-85.0,736695.0625
2018-01-01 01:35:00,2018-01-01 01:40:00,13541.0,13567.0,13535.0,13540.0,51.47019758999997,0,-24.0,736695.0659722222
2018-01-01 01:40:00,2018-01-01 01:45:00,13540.0,13540.0,13417.69207062,13434.0,417.84234297999956,0,-120.0,736695.0694444445
2018-01-01 01:45:00,2018-01-01 01:50:00,13435.0,13446.0,13360.0,13365.0,177.30063285999978,0,-85.0,736695.0729166666
2018-01-01 01:50:00,2018-01-01 01:55:00,13366.0,13435.67986051,13343.0,13344.0,103.2547215400002,0,-76.0,736695.0763888889
2018-01-01 01:55:00,2018-01-01 02:00:00,13344.0,13344.0,13251.0,13281.0,277.86232839999957,0,-91.0,736695.0798611111
2018-01-01 02:00:00,2018-01-01 02:05:00,13280.0,13420.0,13280.0,13386.0,174.61553380999973,1,-115.0,736695.0833333334
2018-01-01 02:05:00,2018-01-01 02:10:00,13386.0,13440.0,13331.0,13377.0,110.22741524999998,0,-95.0,736695.0868055555
2018-01-01 02:10:00,2018-01-01 02:15:00,13380.0,13436.0,13380.0,13417.0,43.11392259000003,1,-44.0,736695.0902777778
2018-01-01 02:15:00,2018-01-01 02:20:00,13418.0,13418.0,13292.0,13300.0,171.78838076999992,0,-120.0,736695.09375
2018-01-01 02:20:00,2018-01-01 02:25:00,13300.0,13354.0,13285.0,13350.0,86.09228142000006,0,-67.0,736695.0972222222
2018-01-01 02:25:00,2018-01-01 02:30:00,13350.0,13368.0,13251.0,13273.0,118.25152501999995,0,-81.0,736695.1006944445
2018-01-01 02:30:00,2018-01-01 02:35:00,13260.0,13340.0,13214.0,13334.0,123.5866429599999,0,-108.15149317000032,736695.1041666666
2018-01-01 02:35:00,2018-01-01 02:40:00,13322.0,13345.74091107,13230.0,13243.0,97.8535022800001,1,-85.0,736695.1076388889
2018-01-01 02:40:00,2018-01-01 02:45:00,13243.0,13327.0,13234.21661376,13324.0,70.70875007999994,0,-82.0,736695.1111111111
2018-01-01 02:45:00,2018-01-01 02:50:00,13325.0,13394.0,13309.0,13351.0,92.35187628999991,1,-68.0,736695.1145833334
2018-01-01 02:50:00,2018-01-01 02:55:00,13351.0,13398.0,13331.0,13331.0,47.54823097000008,0,-63.0,736695.1180555555
2018-01-01 02:55:00,2018-01-01 03:00:00,13332.0,13367.0,13270.19219354,13362.0,91.29769211999994,1,-74.0,736695.1215277778
2018-01-01 03:00:00,2018-01-01 03:05:00,13363.0,13389.0,13320.0,13320.0,34.00669393999999,1,-49.0,736695.125
2018-01-01 03:05:00,2018-01-01 03:10:00,13321.0,13362.0,13310.0,13362.0,55.332676390000046,0,-40.0,736695.1284722222
2018-01-01 03:10:00,2018-01-01 03:15:00,13362.0,13453.0,13355.0,13425.0,154.32215634999994,0,-93.0,736695.1319444445
2018-01-01 03:15:00,2018-01-01 03:20:00,13426.0,13469.0,13417.0,13458.0,144.08655137999983,1,-49.0,736695.1354166666
2018-01-01 03:20:00,2018-01-01 03:25:00,13457.0,13489.0,13447.0,13488.0,42.02260166,0,-39.0,736695.1388888889
2018-01-01 03:25:00,2018-01-01 03:30:00,13487.0,13565.0,13480.04974223,13551.0,171.80163110000004,1,-64.0,736695.1423611111
2018-01-01 03:30:00,2018-01-01 03:35:00,13552.0,13591.0,13509.0,13564.0,56.01481171999998,0,-76.3748535499999,736695.1458333334
2018-01-01 03:35:00,2018-01-01 03:40:00,13563.0,13586.0,13453.0,13472.0,77.33585195,0,-127.57810957999936,736695.1493055555
2018-01-01 03:40:00,2018-01-01 03:45:00,13472.0,13506.0,13451.0,13470.0,36.65963389999999,1,-51.0,736695.1527777778
2018-01-01 03:45:00,2018-01-01 03:50:00,13478.0,13495.0,13440.0,13451.0,76.50871848999995,0,-34.0,736695.15625
2018-01-01 03:50:00,2018-01-01 03:55:00,13450.0,13450.0,13360.0,13391.0,160.91420022000005,0,-75.0,736695.1597222222
2018-01-01 03:55:00,2018-01-01 04:00:00,13390.0,13410.0,13371.0,13394.0,55.91706220000004,0,-27.0,736695.1631944445
2018-01-01 04:00:00,2018-01-01 04:05:00,13393.0,13424.0,13374.0,13378.0,44.953220540000004,0,-45.0,736695.1666666666
2018-01-01 04:05:00,2018-01-01 04:10:00,13375.0,13396.0,13313.0,13334.0,94.98817712000002,0,-66.0,736695.1701388889
2018-01-01 04:10:00,2018-01-01 04:15:00,13343.0,13344.0,13262.0,13307.36695931,90.0748822299999,0,-70.0,736695.1736111111
2018-01-01 04:15:00,2018-01-01 04:20:00,13309.0,13330.0,13285.78161144,13314.0,89.69101574999999,0,-41.0,736695.1770833334
2018-01-01 04:20:00,2018-01-01 04:25:00,13307.0,13398.0,13305.0,13398.0,92.89275552000004,1,-71.0,736695.1805555555
2018-01-01 04:25:00,2018-01-01 04:30:00,13376.0,13465.0,13376.0,13438.0,103.46028873000002,1,-77.0,736695.1840277778
2018-01-01 04:30:00,2018-01-01 04:35:00,13437.0,13485.0,13433.0,13484.0,63.867912269999984,1,-47.0,736695.1875
2018-01-01 04:35:00,2018-01-01 04:40:00,13484.0,13494.0,13440.0,13486.0,50.15743326000003,0,-49.0,736695.1909722222
2018-01-01 04:40:00,2018-01-01 04:45:00,13486.0,13582.0,13486.0,13542.0,75.34510123,0,-94.0,736695.1944444445
2018-01-01 04:45:00,2018-01-01 04:50:00,13535.0,13579.0,13504.0,13505.0,66.98020103,0,-66.0,736695.1979166666
2018-01-01 04:50:00,2018-01-01 04:55:00,13506.0,13559.19601774,13500.0,13555.0,45.67696464999997,0,-54.59845977000077,736695.2013888889
2018-01-01 04:55:00,2018-01-01 05:00:00,13556.0,13584.0,13517.0,13584.0,37.10869467000001,0,-61.0,736695.2048611111
2018-01-01 05:00:00,2018-01-01 05:05:00,13584.0,13598.0,13542.0,13567.0,50.224001489999964,1,-47.0,736695.2083333334
2018-01-01 05:05:00,2018-01-01 05:10:00,13569.0,13569.0,13532.0,13536.0,66.59761623000006,1,-33.0,736695.2118055555
2018-01-01 05:10:00,2018-01-01 05:15:00,13535.0,13536.0,13504.0,13525.0,64.45122365999994,0,-27.0,736695.2152777778
2018-01-01 05:15:00,2018-01-01 05:20:00,13525.0,13608.0,13513.0,13573.0,76.28871937000001,0,-83.0,736695.21875
2018-01-01 05:20:00,2018-01-01 05:25:00,13573.0,13574.0,13519.0,13519.0,57.180959730000055,0,-47.0,736695.2222222222
2018-01-01 05:25:00,2018-01-01 05:30:00,13524.0,13559.0,13496.83834613,13548.0,50.40472072000001,0,-50.0,736695.2256944445
2018-01-01 05:30:00,2018-01-01 05:35:00,13546.0,13586.0,13508.0,13528.0,34.942762880000004,1,-46.0,736695.2291666666
2018-01-01 05:35:00,2018-01-01 05:40:00,13523.0,13528.0,13479.0,13482.0,32.40957428999997,0,-44.0,736695.2326388889
2018-01-01 05:40:00,2018-01-01 05:45:00,13485.0,13532.0,13485.0,13532.0,21.40330008000001,1,-37.61880994999956,736695.2361111111
2018-01-01 05:45:00,2018-01-01 05:50:00,13532.0,13532.0,13495.0,13495.0,36.78506377000003,1,-35.0,736695.2395833334
2018-01-01 05:50:00,2018-01-01 05:55:00,13496.0,13550.0,13494.0,13533.0,29.628698970000002,0,-47.0,736695.2430555555
2018-01-01 05:55:00,2018-01-01 06:00:00,13524.0,13545.0,13501.0,13501.0,12.920425899999996,1,-24.0,736695.2465277778
2018-01-01 06:00:00,2018-01-01 06:05:00,13511.0,13525.0,13463.0,13468.0,51.690211520000005,0,-57.0,736695.25
2018-01-01 06:05:00,2018-01-01 06:10:00,13471.0,13471.0,13435.0,13471.0,119.07144178999997,1,-30.0,736695.2534722222
2018-01-01 06:10:00,2018-01-01 06:15:00,13470.0,13476.0,13452.0,13476.0,91.89354647999998,1,-23.0,736695.2569444445
2018-01-01 06:15:00,2018-01-01 06:20:00,13476.0,13497.0,13467.0,13497.0,86.42297938000002,1,-26.0,736695.2604166666
2018-01-01 06:20:00,2018-01-01 06:25:00,13497.0,13648.0,13496.0,13640.0,139.71227660000005,1,-150.0,736695.2638888889
2018-01-01 06:25:00,2018-01-01 06:30:00,13640.0,13711.0,13633.0,13668.0,139.49778717,1,-63.0,736695.2673611111
2018-01-01 06:30:00,2018-01-01 06:35:00,13667.0,13685.0,13615.0,13615.0,48.96214988000005,0,-65.0,736695.2708333334
2018-01-01 06:35:00,2018-01-01 06:40:00,13615.0,13686.0,13614.0,13673.0,37.069518730000006,0,-65.0,736695.2743055555
2018-01-01 06:40:00,2018-01-01 06:45:00,13673.0,13768.0,13650.0,13763.0,128.32101555000006,1,-118.0,736695.2777777778
2018-01-01 06:45:00,2018-01-01 06:50:00,13763.0,13768.0,13727.0,13744.0,79.29327709999998,0,-27.0,736695.28125
2018-01-01 06:50:00,2018-01-01 06:55:00,13744.0,13839.0,13743.0,13813.0,155.70339285999992,1,-96.0,736695.2847222222
2018-01-01 06:55:00,2018-01-01 07:00:00,13813.0,13830.0,13780.0,13781.0,85.68222114999988,1,-47.0,736695.2881944445
2018-01-01 07:00:00,2018-01-01 07:05:00,13780.0,13840.0,13773.0,13822.0,46.21384640000004,1,-58.0,736695.2916666666
2018-01-01 07:05:00,2018-01-01 07:10:00,13821.0,13868.0,13798.0,13852.0,50.307865740000004,0,-64.0,736695.2951388889
2018-01-01 07:10:00,2018-01-01 07:15:00,13853.0,13893.0,13767.0,13791.0,102.1041066299999,1,-107.14561954999954,736695.2986111111
2018-01-01 07:15:00,2018-01-01 07:20:00,13792.0,13800.0,13700.0,13728.0,45.000944669999996,0,-91.0,736695.3020833334
2018-01-01 07:20:00,2018-01-01 07:25:00,13728.0,13759.4600785,13700.0,13749.0,90.82998870999995,0,-46.0,736695.3055555555
2018-01-01 07:25:00,2018-01-01 07:30:00,13751.0,13800.23240225,13744.0,13771.0,104.32856950000003,0,-53.0,736695.3090277778
2018-01-01 07:30:00,2018-01-01 07:35:00,13770.0,13841.0,13764.0,13779.0,43.97134573000002,1,-59.0,736695.3125
2018-01-01 07:35:00,2018-01-01 07:40:00,13779.0,13780.0,13723.0,13727.0,38.05049755999999,1,-52.0,736695.3159722222
2018-01-01 07:40:00,2018-01-01 07:45:00,13726.0,13726.0,13615.0,13678.0,242.76720958999982,0,-76.0,736695.3194444445
2018-01-01 07:45:00,2018-01-01 07:50:00,13682.0,13683.0,13603.0,13610.0,95.84546362000003,0,-69.0,736695.3229166666
2018-01-01 07:50:00,2018-01-01 07:55:00,13620.0,13667.0,13617.0,13655.13089715,68.52789617000003,0,-45.0,736695.3263888889
2018-01-01 07:55:00,2018-01-01 08:00:00,13643.0,13667.0,13617.0,13617.0,40.16347840999999,1,-39.0,736695.3298611111
2018-01-01 08:00:00,2018-01-01 08:05:00,13616.0,13618.0,13572.0,13594.0,58.60044415000004,0,-41.0,736695.3333333334
2018-01-01 08:05:00,2018-01-01 08:10:00,13594.0,13634.0,13592.0,13619.0,45.60198123999999,0,-31.0,736695.3368055555
2018-01-01 08:10:00,2018-01-01 08:15:00,13623.0,13684.0,13622.0,13682.0,76.32576026000001,1,-59.0,736695.3402777778
2018-01-01 08:15:00,2018-01-01 08:20:00,13682.0,13728.0,13656.0,13726.0,93.57497979000006,0,-69.0,736695.34375
2018-01-01 08:20:00,2018-01-01 08:25:00,13725.0,13751.0,13685.0,13694.0,57.44315161000001,0,-55.0,736695.3472222222
2018-01-01 08:25:00,2018-01-01 08:30:00,13700.0,13726.0,13653.0,13654.0,70.75641617000002,1,-65.0,736695.3506944445
2018-01-01 08:30:00,2018-01-01 08:35:00,13653.0,13672.0,13484.0,13500.0,346.05344761000003,0,-176.0,736695.3541666666
2018-01-01 08:35:00,2018-01-01 08:40:00,13500.0,13543.0,13451.0,13541.0,119.47582162999991,1,-81.0,736695.3576388889
2018-01-01 08:40:00,2018-01-01 08:45:00,13541.0,13542.0,13389.0,13400.0,224.4929776399994,0,-143.0,736695.3611111111
2018-01-01 08:45:00,2018-01-01 08:50:00,13400.0,13449.0,13399.0,13433.0,141.35739618999972,1,-47.0,736695.3645833334
2018-01-01 08:50:00,2018-01-01 08:55:00,13436.0,13437.0,13408.09858268,13417.0,65.51890103000005,1,-22.0,736695.3680555555
2018-01-01 08:55:00,2018-01-01 09:00:00,13417.0,13450.0,13410.0,13417.0,40.77741723999999,1,-34.0,736695.3715277778
2018-01-01 09:00:00,2018-01-01 09:05:00,13417.0,13498.0,13416.49288463,13489.0,163.14842199999993,1,-80.0,736695.375
2018-01-01 09:05:00,2018-01-01 09:10:00,13488.0,13502.83427609,13462.0,13502.83427609,44.73044893000001,1,-28.83427608999955,736695.3784722222
